"","DB_NAME","NR_CPU","QTD_CONEXAO","BUILD_BANCO_DB2","BUILD_INST_DB2","QTD_ERROS_ATUALIZACAO","ULTIMO_RUNSTATS","QTD_OBJETOS_INVALIDOS","PACOTES_INVALIDOS","BUFFERPOLLS_AUTO","MEMORIA_BD","DFT_QUERYOPT","LOGBUFSZ","DB_MEM_THRESH","SELF_TUNING_MEM","DATABASE_MEMORY","DFT_DEGREE","TAMANHO_DO_BANCO_GB","TRIGGERS_AUDLOG","INSTANCE_MEMORY","Target"
"1","DEVKOP",4,14,"s181109","s1811091400",5,"2020-03-18",0,0,0,928,5,4096,100,"ON (Active)","AUTOMATIC",-1,26.23,4,"AUTOMATIC","0"
"2","DEVKOP",4,14,"s181109","s1811091400",5,"2020-03-18",0,0,0,1014,5,4096,100,"ON (Active)","AUTOMATIC",-1,26.23,4,"AUTOMATIC","0"
"3","DEVKOP",4,14,"s181109","s1811091400",5,"2020-03-18",0,0,0,1181,5,4096,100,"ON (Active)","AUTOMATIC",-1,26.23,4,"AUTOMATIC","0"
"4","DONGO",2,9,"s141128","s141128",2,"2020-09-12",0,1,2,2559,5,1024,100,"ON (Active)","AUTOMATIC",1,37.53,4,"AUTOMATIC","0"
"5","DEVKOP",4,14,"s181109","s1811091400",5,"2020-03-18",0,0,0,1176,5,4096,100,"ON (Active)","AUTOMATIC",-1,26.23,4,"AUTOMATIC","0"
"6","DONGO",2,9,"s141128","s141128",2,"2020-09-12",0,1,2,2555,5,1024,100,"ON (Active)","AUTOMATIC",1,37.53,4,"AUTOMATIC","0"
"7","DECORTIN",2,9,"s141128","s141128",0,"2020-01-30",0,0,0,1848,5,4096,10,"ON (Active)","AUTOMATIC",-1,7.91,0,"AUTOMATIC","0"
"8","INTER",2,10,"s141128","s141128",0,"2020-08-19",0,0,0,1770,5,2048,100,"ON (Active)","AUTOMATIC",1,13.45,0,"AUTOMATIC","0"
"9","DESTRO",2,10,"s160901","s141128",0,"2020-07-06",0,25,0,521,5,4096,100,"ON (Active)","AUTOMATIC",-1,20.75,3,"AUTOMATIC","1"
"10","PKENTE",2,12,"s151221","s141128",0,"2019-10-08",0,1,1,1108,5,4096,100,"ON (Active)","AUTOMATIC",-1,85.73,2,"AUTOMATIC","0"
"11","MADESIL",2,9,"special","s141128",0,"2019-10-10",0,1,0,366,5,512,10,"ON (Active)","AUTOMATIC",1,8.95,0,"AUTOMATIC","0"
"12","GIPIELA",4,11,"s181109","s1811091400",0,"2020-06-13",0,0,0,686,5,4096,100,"ON (Active)","AUTOMATIC",-1,30,6,"AUTOMATIC","0"
"13","DEVKOP",4,19,"s181109","s1811091400",5,"2020-03-18",0,0,0,781,5,4096,100,"ON (Active)","AUTOMATIC",-1,26.23,4,"AUTOMATIC","0"
