"","DB_NAME","NR_CPU","QTD_CONEXAO","BUILD_BANCO_DB2","BUILD_INST_DB2","QTD_ERROS_ATUALIZACAO","ULTIMO_RUNSTATS","QTD_OBJETOS_INVALIDOS","PACOTES_INVALIDOS","BUFFERPOLLS_AUTO","MEMORIA_BD","DFT_QUERYOPT","LOGBUFSZ","DB_MEM_THRESH","SELF_TUNING_MEM","DATABASE_MEMORY","DFT_DEGREE","TAMANHO_DO_BANCO_GB","TRIGGERS_AUDLOG","INSTANCE_MEMORY","Target"
"14","DONGO",2,9,"s141128","s141128",2,"2020-09-12",0,1,2,2559,5,1024,100,"ON (Active)","AUTOMATIC",1,37.53,4,"AUTOMATIC","0"
"15","INTER",2,10,"s141128","s141128",0,"2020-08-19",0,0,0,2107,5,2048,100,"ON (Active)","AUTOMATIC",1,13.45,0,"AUTOMATIC","0"
"16","DESTRO",2,10,"s160901","s141128",0,"2020-07-06",0,25,0,520,5,4096,100,"ON (Active)","AUTOMATIC",-1,20.75,3,"AUTOMATIC","0"
"17","PKENTE",2,13,"s151221","s141128",0,"2019-10-08",0,1,1,1116,5,4096,100,"ON (Active)","AUTOMATIC",-1,85.73,2,"AUTOMATIC","0"
"18","MADESIL",2,9,"special","s141128",0,"2019-10-10",0,1,0,366,5,512,10,"ON (Active)","AUTOMATIC",1,8.95,0,"AUTOMATIC","0"
"19","GIPIELA",4,12,"s181109","s1811091400",0,"2020-06-13",0,0,0,684,5,4096,100,"ON (Active)","AUTOMATIC",-1,30,6,"AUTOMATIC","0"
"20","SCHWALM",2,11,"s141128","s141128",1,"2020-02-06",0,9,0,696,5,2150,100,"ON (Active)","AUTOMATIC",1,56.73,0,"AUTOMATIC","0"
"21","CRISTAL",2,9,"s141128","s141128",2,"2019-08-25",0,0,0,376,5,1024,100,"ON (Active)","AUTOMATIC",1,4.39,0,"AUTOMATIC","0"
"22","OUTLET",2,13,"s141128","s141128",0,"2019-09-07",1,26,0,743,3,1024,100,"ON (Active)","AUTOMATIC",1,6.71,4,"AUTOMATIC","1"
"23","BELO",2,8,"s141128","s141128",0,"2019-09-30",0,0,0,651,5,4096,90,"ON (Active)","AUTOMATIC",-1,21.93,0,"AUTOMATIC","0"
"24","AGROMETA",2,9,"s191112","s1811091400",0,"2020-02-18",0,0,0,656,5,4096,100,"ON (Active)","AUTOMATIC",-1,92.43,8,"AUTOMATIC","0"
"25","DEVKOP",4,20,"s181109","s1811091400",5,"2020-03-18",0,0,0,787,5,4096,100,"ON (Active)","AUTOMATIC",-1,26.23,4,"AUTOMATIC","0"
"26","DONGO",2,9,"s141128","s141128",2,"2020-09-12",0,1,2,2569,5,1024,100,"ON (Active)","AUTOMATIC",1,37.53,4,"AUTOMATIC","0"
"27","DECORTIN",2,9,"s141128","s141128",0,"2020-01-30",0,0,0,1705,5,4096,10,"ON (Active)","AUTOMATIC",-1,7.91,0,"AUTOMATIC","0"
"28","INTER",2,10,"s141128","s141128",0,"2020-08-19",0,0,0,1891,5,2048,100,"ON (Active)","AUTOMATIC",1,13.45,0,"AUTOMATIC","0"
"29","DESTRO",2,9,"s160901","s141128",0,"2020-07-06",0,25,0,517,5,4096,100,"ON (Active)","AUTOMATIC",-1,20.75,3,"AUTOMATIC","0"
"30","PKENTE",2,10,"s151221","s141128",0,"2019-10-08",0,1,1,1114,5,4096,100,"ON (Active)","AUTOMATIC",-1,85.73,2,"AUTOMATIC","0"
"31","MADESIL",2,9,"special","s141128",0,"2019-10-10",0,1,0,366,5,512,10,"ON (Active)","AUTOMATIC",1,8.95,0,"AUTOMATIC","0"
"32","GIPIELA",4,9,"s181109","s1811091400",0,"2020-06-13",0,0,0,663,5,4096,100,"ON (Active)","AUTOMATIC",-1,30,6,"AUTOMATIC","0"
"33","DEVKOP",4,18,"s181109","s1811091400",5,"2020-03-18",0,0,0,768,5,4096,100,"ON (Active)","AUTOMATIC",-1,26.23,4,"AUTOMATIC","0"
"34","DEVKOP",4,20,"s181109","s1811091400",5,"2020-03-18",0,0,0,761,5,4096,100,"ON (Active)","AUTOMATIC",-1,26.23,4,"AUTOMATIC","0"
"35","DONGO",2,9,"s141128","s141128",2,"2020-09-12",0,1,2,2565,5,1024,100,"ON (Active)","AUTOMATIC",1,37.53,4,"AUTOMATIC","0"
"36","INTER",2,10,"s141128","s141128",0,"2020-08-19",0,0,0,2229,5,2048,100,"ON (Active)","AUTOMATIC",1,13.45,0,"AUTOMATIC","0"
"37","DESTRO",2,12,"s160901","s141128",0,"2020-07-06",0,25,0,525,5,4096,100,"ON (Active)","AUTOMATIC",-1,20.75,3,"AUTOMATIC","0"
"38","PKENTE",2,11,"s151221","s141128",0,"2019-10-08",0,1,1,1115,5,4096,100,"ON (Active)","AUTOMATIC",-1,85.73,2,"AUTOMATIC","0"
"39","MADESIL",2,9,"special","s141128",0,"2019-10-10",0,1,0,365,5,512,10,"ON (Active)","AUTOMATIC",1,8.95,0,"AUTOMATIC","0"
"40","GIPIELA",4,9,"s181109","s1811091400",0,"2020-06-13",0,0,0,670,5,4096,100,"ON (Active)","AUTOMATIC",-1,30,6,"AUTOMATIC","0"
"41","2030",2,3808,"0.230000","",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","1"
"42","CRISTAL",2,9,"s141128","s141128",2,"2019-08-25",0,0,0,398,5,1024,100,"ON (Active)","AUTOMATIC",1,4.39,0,"AUTOMATIC","0"
"43","OUTLET",2,12,"s141128","s141128",0,"2019-09-07",1,26,0,765,3,1024,100,"ON (Active)","AUTOMATIC",1,6.71,4,"AUTOMATIC","0"
"44","BELO",2,8,"s141128","s141128",0,"2019-09-30",0,0,0,640,5,4096,90,"ON (Active)","AUTOMATIC",-1,21.93,0,"AUTOMATIC","0"
"45","AGROMETA",2,9,"s191112","s1811091400",0,"2020-02-18",0,0,0,658,5,4096,100,"ON (Active)","AUTOMATIC",-1,92.43,8,"AUTOMATIC","0"
"46","DEVKOP",4,20,"s181109","s1811091400",5,"2020-03-18",0,0,0,780,5,4096,100,"ON (Active)","AUTOMATIC",-1,26.23,4,"AUTOMATIC","0"
"47","DONGO",2,9,"s141128","s141128",2,"2020-09-12",0,1,2,2567,5,1024,100,"ON (Active)","AUTOMATIC",1,37.53,4,"AUTOMATIC","0"
"48","INTER",2,10,"s141128","s141128",0,"2020-08-19",0,0,0,2239,5,2048,100,"ON (Active)","AUTOMATIC",1,13.45,0,"AUTOMATIC","0"
"49","DESTRO",2,9,"s160901","s141128",0,"2020-07-06",0,25,0,522,5,4096,100,"ON (Active)","AUTOMATIC",-1,20.75,3,"AUTOMATIC","0"
"50","PKENTE",2,11,"s151221","s141128",0,"2019-10-08",0,1,1,1115,5,4096,100,"ON (Active)","AUTOMATIC",-1,85.73,2,"AUTOMATIC","0"
"51","MADESIL",2,9,"special","s141128",0,"2019-10-10",0,1,0,365,5,512,10,"ON (Active)","AUTOMATIC",1,8.95,0,"AUTOMATIC","0"
"52","GIPIELA",4,9,"s181109","s1811091400",0,"2020-06-13",0,0,0,665,5,4096,100,"ON (Active)","AUTOMATIC",-1,30,6,"AUTOMATIC","0"
"53","2030",2,3939,"0.280000","",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","1"
"54","CRISTAL",2,9,"s141128","s141128",2,"2019-08-25",0,0,0,427,5,1024,100,"ON (Active)","AUTOMATIC",1,4.39,0,"AUTOMATIC","0"
"55","OUTLET",2,12,"s141128","s141128",0,"2019-09-07",1,26,0,770,3,1024,100,"ON (Active)","AUTOMATIC",1,6.71,4,"AUTOMATIC","0"
"56","BELO",2,8,"s141128","s141128",0,"2019-09-30",0,0,0,640,5,4096,90,"ON (Active)","AUTOMATIC",-1,21.93,0,"AUTOMATIC","0"
"57","AGROMETA",2,9,"s191112","s1811091400",0,"2020-02-18",0,0,0,656,5,4096,100,"ON (Active)","AUTOMATIC",-1,92.43,8,"AUTOMATIC","0"
"58","DEVKOP",4,24,"s181109","s1811091400",5,"2020-03-18",0,0,0,773,5,4096,100,"ON (Active)","AUTOMATIC",-1,26.23,4,"AUTOMATIC","0"
"59","DONGO",2,9,"s141128","s141128",2,"2020-09-12",0,1,2,2567,5,1024,100,"ON (Active)","AUTOMATIC",1,37.53,4,"AUTOMATIC","0"
"60","INTER",2,10,"s141128","s141128",0,"2020-08-19",0,0,0,2237,5,2048,100,"ON (Active)","AUTOMATIC",1,13.45,0,"AUTOMATIC","0"
"61","DESTRO",2,9,"s160901","s141128",0,"2020-07-06",0,25,0,519,5,4096,100,"ON (Active)","AUTOMATIC",-1,20.75,3,"AUTOMATIC","0"
"62","PKENTE",2,11,"s151221","s141128",0,"2019-10-08",0,1,1,1115,5,4096,100,"ON (Active)","AUTOMATIC",-1,85.73,2,"AUTOMATIC","0"
"63","MADESIL",2,9,"special","s141128",0,"2019-10-10",0,1,0,365,5,512,10,"ON (Active)","AUTOMATIC",1,8.95,0,"AUTOMATIC","0"
"64","GIPIELA",4,10,"s181109","s1811091400",0,"2020-06-13",0,0,0,667,5,4096,100,"ON (Active)","AUTOMATIC",-1,30,6,"AUTOMATIC","0"
"65","2030",2,2828,"0.550000","",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","1"
"66","CRISTAL",2,9,"s141128","s141128",2,"2019-08-25",0,0,0,398,5,1024,100,"ON (Active)","AUTOMATIC",1,4.39,0,"AUTOMATIC","0"
"67","OUTLET",2,12,"s141128","s141128",0,"2019-09-07",1,26,0,765,3,1024,100,"ON (Active)","AUTOMATIC",1,6.71,4,"AUTOMATIC","0"
"68","BELO",2,9,"s141128","s141128",0,"2019-09-30",0,0,0,648,5,4096,90,"ON (Active)","AUTOMATIC",-1,21.93,0,"AUTOMATIC","0"
"69","AGROMETA",2,10,"s191112","s1811091400",0,"2020-02-18",0,0,0,658,5,4096,100,"ON (Active)","AUTOMATIC",-1,92.43,8,"AUTOMATIC","0"
"70","DEVKOP",4,21,"s181109","s1811091400",5,"2020-03-18",0,0,0,813,5,4096,100,"ON (Active)","AUTOMATIC",-1,26.23,4,"AUTOMATIC","0"
"71","DONGO",2,9,"s141128","s141128",2,"2020-09-12",0,1,2,2560,5,1024,100,"ON (Active)","AUTOMATIC",1,37.53,4,"AUTOMATIC","0"
"72","INTER",2,10,"s141128","s141128",0,"2020-08-19",0,0,0,2157,5,2048,100,"ON (Active)","AUTOMATIC",1,13.45,0,"AUTOMATIC","0"
"73","DESTRO",2,9,"s160901","s141128",0,"2020-07-06",0,25,0,517,5,4096,100,"ON (Active)","AUTOMATIC",-1,20.75,3,"AUTOMATIC","0"
"74","PKENTE",2,12,"s151221","s141128",0,"2019-10-08",0,1,1,1115,5,4096,100,"ON (Active)","AUTOMATIC",-1,85.73,2,"AUTOMATIC","0"
"75","MADESIL",2,10,"special","s141128",0,"2019-10-10",0,1,0,367,5,512,10,"ON (Active)","AUTOMATIC",1,8.95,0,"AUTOMATIC","0"
"76","GIPIELA",4,11,"s181109","s1811091400",0,"2020-06-13",0,0,0,692,5,4096,100,"ON (Active)","AUTOMATIC",-1,30,6,"AUTOMATIC","0"
"77","2030",2,2797,"0.650000","",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","1"
"78","CRISTAL",2,9,"s141128","s141128",2,"2019-08-25",0,0,0,377,5,1024,100,"ON (Active)","AUTOMATIC",1,4.39,0,"AUTOMATIC","0"
"79","OUTLET",2,14,"s141128","s141128",0,"2019-09-07",1,26,0,772,3,1024,100,"ON (Active)","AUTOMATIC",1,6.71,4,"AUTOMATIC","0"
"80","BELO",2,10,"s141128","s141128",0,"2019-09-30",0,0,0,651,5,4096,90,"ON (Active)","AUTOMATIC",-1,21.93,0,"AUTOMATIC","0"
"81","AGROMETA",2,11,"s191112","s1811091400",0,"2020-02-18",0,0,0,670,5,4096,100,"ON (Active)","AUTOMATIC",-1,92.43,8,"AUTOMATIC","0"
"82","DEVKOP",4,20,"s181109","s1811091400",5,"2020-03-18",0,0,0,783,5,4096,100,"ON (Active)","AUTOMATIC",-1,26.23,4,"AUTOMATIC","0"
"83","DONGO",2,9,"s141128","s141128",2,"2020-09-12",0,1,2,2560,5,1024,100,"ON (Active)","AUTOMATIC",1,37.53,4,"AUTOMATIC","0"
"84","INTER",2,10,"s141128","s141128",0,"2020-08-19",0,0,0,1785,5,2048,100,"ON (Active)","AUTOMATIC",1,13.45,0,"AUTOMATIC","0"
"85","DESTRO",2,9,"s160901","s141128",0,"2020-07-06",0,25,0,517,5,4096,100,"ON (Active)","AUTOMATIC",-1,20.75,3,"AUTOMATIC","1"
"86","PKENTE",2,11,"s151221","s141128",0,"2019-10-08",0,1,1,1115,5,4096,100,"ON (Active)","AUTOMATIC",-1,85.73,2,"AUTOMATIC","0"
"87","MADESIL",2,9,"special","s141128",0,"2019-10-10",0,1,0,365,5,512,10,"ON (Active)","AUTOMATIC",1,8.95,0,"AUTOMATIC","0"
"88","GIPIELA",4,10,"s181109","s1811091400",0,"2020-06-13",0,0,0,694,5,4096,100,"ON (Active)","AUTOMATIC",-1,30,6,"AUTOMATIC","0"
"89","2030",2,2799,"0.450000","",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","1"
"90","CRISTAL",2,9,"s141128","s141128",2,"2019-08-25",0,0,0,406,5,1024,100,"ON (Active)","AUTOMATIC",1,4.39,0,"AUTOMATIC","0"
"91","OUTLET",2,12,"s141128","s141128",0,"2019-09-07",1,26,0,767,3,1024,100,"ON (Active)","AUTOMATIC",1,6.71,4,"AUTOMATIC","1"
"92","BELO",2,8,"s141128","s141128",0,"2019-09-30",0,0,0,642,5,4096,90,"ON (Active)","AUTOMATIC",-1,21.93,0,"AUTOMATIC","0"
"93","AGROMETA",2,9,"s191112","s1811091400",0,"2020-02-18",0,0,0,662,5,4096,100,"ON (Active)","AUTOMATIC",-1,92.43,8,"AUTOMATIC","0"
"94","DEVKOP",4,20,"s181109","s1811091400",5,"2020-03-18",0,0,0,758,5,4096,100,"ON (Active)","AUTOMATIC",-1,26.23,4,"AUTOMATIC","0"
"95","DONGO",2,9,"s141128","s141128",2,"2020-09-12",0,1,2,2566,5,1024,100,"ON (Active)","AUTOMATIC",1,37.53,4,"AUTOMATIC","0"
"96","INTER",2,10,"s141128","s141128",0,"2020-08-19",0,0,0,1782,5,2048,100,"ON (Active)","AUTOMATIC",1,13.45,0,"AUTOMATIC","0"
"97","DESTRO",2,9,"s160901","s141128",0,"2020-07-06",0,25,0,519,5,4096,100,"ON (Active)","AUTOMATIC",-1,20.75,3,"AUTOMATIC","0"
"98","PKENTE",2,11,"s151221","s141128",0,"2019-10-08",0,1,1,1115,5,4096,100,"ON (Active)","AUTOMATIC",-1,85.73,2,"AUTOMATIC","0"
"99","MADESIL",2,9,"special","s141128",0,"2019-10-10",0,1,0,365,5,512,10,"ON (Active)","AUTOMATIC",1,8.95,0,"AUTOMATIC","0"
"100","2030",2,2775,"0.350000","",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","1"
"101","BELO",2,9,"s141128","s141128",0,"2019-09-30",0,0,0,650,5,4096,90,"ON (Active)","AUTOMATIC",-1,21.93,0,"AUTOMATIC","0"
"102","AGROMETA",2,9,"s191112","s1811091400",0,"2020-02-18",0,0,0,670,5,4096,100,"ON (Active)","AUTOMATIC",-1,92.43,8,"AUTOMATIC","0"
"103","DEVKOP",4,20,"s181109","s1811091400",5,"2020-03-18",0,0,0,757,5,4096,100,"ON (Active)","AUTOMATIC",-1,26.23,4,"AUTOMATIC","0"
"104","DONGO",2,9,"s141128","s141128",2,"2020-09-12",0,1,2,2568,5,1024,100,"ON (Active)","AUTOMATIC",1,37.53,4,"AUTOMATIC","0"
"105","INTER",2,10,"s141128","s141128",0,"2020-08-19",0,0,0,1782,5,2048,100,"ON (Active)","AUTOMATIC",1,13.45,0,"AUTOMATIC","0"
"106","DESTRO",2,10,"s160901","s141128",0,"2020-07-06",0,25,0,519,5,4096,100,"ON (Active)","AUTOMATIC",-1,20.75,3,"AUTOMATIC","0"
"107","PKENTE",2,12,"s151221","s141128",0,"2019-10-08",0,1,1,1115,5,4096,100,"ON (Active)","AUTOMATIC",-1,85.73,2,"AUTOMATIC","1"
"108","MADESIL",2,9,"special","s141128",0,"2019-10-10",0,1,0,364,5,512,10,"ON (Active)","AUTOMATIC",1,8.95,0,"AUTOMATIC","0"
"109","GIPIELA",4,12,"s181109","s1811091400",0,"2020-06-13",0,0,0,840,5,4096,100,"ON (Active)","AUTOMATIC",-1,30,6,"AUTOMATIC","1"
"110","2030",2,2819,"0.240000","",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","1"
"111","CRISTAL",2,9,"s141128","s141128",2,"2019-08-25",0,0,0,377,5,1024,100,"ON (Active)","AUTOMATIC",1,4.39,0,"AUTOMATIC","1"
"112","OUTLET",2,12,"s141128","s141128",0,"2019-09-07",1,26,0,767,3,1024,100,"ON (Active)","AUTOMATIC",1,6.71,4,"AUTOMATIC","1"
"113","BELO",2,11,"s141128","s141128",0,"2019-09-30",0,0,0,652,5,4096,90,"ON (Active)","AUTOMATIC",-1,21.93,0,"AUTOMATIC","1"
"114","AGROMETA",2,11,"s191112","s1811091400",0,"2020-02-18",0,0,0,671,5,4096,100,"ON (Active)","AUTOMATIC",-1,92.43,8,"AUTOMATIC","0"
"115","DEVKOP",4,23,"s181109","s1811091400",5,"2020-03-18",0,0,0,765,5,4096,100,"ON (Active)","AUTOMATIC",-1,26.23,4,"AUTOMATIC","0"
"116","DONGO",2,9,"s141128","s141128",2,"2020-09-12",0,1,2,2558,5,1024,100,"ON (Active)","AUTOMATIC",1,37.53,4,"AUTOMATIC","0"
"117","INTER",2,10,"s141128","s141128",0,"2020-08-19",0,0,0,1787,5,2048,100,"ON (Active)","AUTOMATIC",1,13.45,0,"AUTOMATIC","0"
"118","DESTRO",2,10,"s160901","s141128",0,"2020-07-06",0,25,0,519,5,4096,100,"ON (Active)","AUTOMATIC",-1,20.75,3,"AUTOMATIC","0"
"119","PKENTE",2,12,"s151221","s141128",0,"2019-10-08",0,1,1,1115,5,4096,100,"ON (Active)","AUTOMATIC",-1,85.73,2,"AUTOMATIC","1"
"120","MADESIL",2,9,"special","s141128",0,"2019-10-10",0,1,0,363,5,512,10,"ON (Active)","AUTOMATIC",1,8.95,0,"AUTOMATIC","0"
"121","GIPIELA",4,11,"s181109","s1811091400",0,"2020-06-13",0,0,0,842,5,4096,100,"ON (Active)","AUTOMATIC",-1,30,6,"AUTOMATIC","0"
"122","2030",2,2794,"0.550000","",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","1"
"123","CRISTAL",2,9,"s141128","s141128",2,"2019-08-25",0,0,0,377,5,1024,100,"ON (Active)","AUTOMATIC",1,4.39,0,"AUTOMATIC","1"
"124","OUTLET",2,13,"s141128","s141128",0,"2019-09-07",1,26,0,767,3,1024,100,"ON (Active)","AUTOMATIC",1,6.71,4,"AUTOMATIC","1"
"125","BELO",2,11,"s141128","s141128",0,"2019-09-30",0,0,0,655,5,4096,90,"ON (Active)","AUTOMATIC",-1,21.93,0,"AUTOMATIC","0"
"126","AGROMETA",2,11,"s191112","s1811091400",0,"2020-02-18",0,0,0,674,5,4096,100,"ON (Active)","AUTOMATIC",-1,92.43,8,"AUTOMATIC","0"
"127","DEVKOP",4,20,"s181109","s1811091400",5,"2020-03-18",0,0,0,777,5,4096,100,"ON (Active)","AUTOMATIC",-1,26.23,4,"AUTOMATIC","0"
"128","DONGO",2,9,"s141128","s141128",2,"2020-09-12",0,1,2,2560,5,1024,100,"ON (Active)","AUTOMATIC",1,37.53,4,"AUTOMATIC","0"
"129","INTER",2,11,"s141128","s141128",0,"2020-08-19",0,0,0,2161,5,2048,100,"ON (Active)","AUTOMATIC",1,13.45,0,"AUTOMATIC","0"
"130","DESTRO",2,10,"s160901","s141128",0,"2020-07-06",0,25,0,530,5,4096,100,"ON (Active)","AUTOMATIC",-1,20.75,3,"AUTOMATIC","1"
"131","PKENTE",2,12,"s151221","s141128",0,"2019-10-08",0,1,1,1115,5,4096,100,"ON (Active)","AUTOMATIC",-1,85.73,2,"AUTOMATIC","0"
"132","MADESIL",2,9,"special","s141128",0,"2019-10-10",0,1,0,362,5,512,10,"ON (Active)","AUTOMATIC",1,8.95,0,"AUTOMATIC","0"
"133","GIPIELA",4,11,"s181109","s1811091400",0,"2020-06-13",0,0,0,837,5,4096,100,"ON (Active)","AUTOMATIC",-1,30,6,"AUTOMATIC","0"
"134","2030",2,2674,"0.390000","",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","1"
"135","CRISTAL",2,9,"s141128","s141128",2,"2019-08-25",0,0,0,377,5,1024,100,"ON (Active)","AUTOMATIC",1,4.39,0,"AUTOMATIC","1"
"136","OUTLET",2,11,"s141128","s141128",0,"2019-09-07",1,26,0,767,3,1024,100,"ON (Active)","AUTOMATIC",1,6.71,4,"AUTOMATIC","1"
"137","BELO",2,10,"s141128","s141128",0,"2019-09-30",0,0,0,656,5,4096,90,"ON (Active)","AUTOMATIC",-1,21.93,0,"AUTOMATIC","1"
"138","AGROMETA",2,10,"s191112","s1811091400",0,"2020-02-18",0,0,0,675,5,4096,100,"ON (Active)","AUTOMATIC",-1,92.43,8,"AUTOMATIC","0"
"139","DEVKOP",4,20,"s181109","s1811091400",5,"2020-03-18",0,0,0,775,5,4096,100,"ON (Active)","AUTOMATIC",-1,26.23,4,"AUTOMATIC","0"
"140","DONGO",2,9,"s141128","s141128",2,"2020-09-12",0,1,2,2558,5,1024,100,"ON (Active)","AUTOMATIC",1,37.53,4,"AUTOMATIC","0"
"141","INTER",2,11,"s141128","s141128",0,"2020-08-19",0,0,0,2152,5,2048,100,"ON (Active)","AUTOMATIC",1,13.45,0,"AUTOMATIC","0"
"142","DESTRO",2,11,"s160901","s141128",0,"2020-07-06",0,25,0,523,5,4096,100,"ON (Active)","AUTOMATIC",-1,20.75,3,"AUTOMATIC","0"
"143","PKENTE",2,13,"s151221","s141128",0,"2019-10-08",0,1,1,1115,5,4096,100,"ON (Active)","AUTOMATIC",-1,85.73,2,"AUTOMATIC","1"
"144","MADESIL",2,10,"special","s141128",0,"2019-10-10",0,1,0,366,5,512,10,"ON (Active)","AUTOMATIC",1,8.95,0,"AUTOMATIC","0"
"145","GIPIELA",4,12,"s181109","s1811091400",0,"2020-06-13",0,0,0,837,5,4096,100,"ON (Active)","AUTOMATIC",-1,30,6,"AUTOMATIC","0"
"146","2030",2,2660,"0.360000","",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","1"
"147","CRISTAL",2,9,"s141128","s141128",2,"2019-08-25",0,0,0,377,5,1024,100,"ON (Active)","AUTOMATIC",1,4.39,0,"AUTOMATIC","0"
"148","OUTLET",2,11,"s141128","s141128",0,"2019-09-07",1,26,0,767,3,1024,100,"ON (Active)","AUTOMATIC",1,6.71,4,"AUTOMATIC","0"
"149","BELO",2,9,"s141128","s141128",0,"2019-09-30",0,0,0,656,5,4096,90,"ON (Active)","AUTOMATIC",-1,21.93,0,"AUTOMATIC","0"
"150","AGROMETA",2,10,"s191112","s1811091400",0,"2020-02-18",0,0,0,675,5,4096,100,"ON (Active)","AUTOMATIC",-1,92.43,8,"AUTOMATIC","0"
"151","DEVKOP",4,20,"s181109","s1811091400",5,"2020-03-18",0,0,0,772,5,4096,100,"ON (Active)","AUTOMATIC",-1,26.23,4,"AUTOMATIC","0"
"152","DONGO",2,9,"s141128","s141128",2,"2020-09-12",0,1,2,2560,5,1024,100,"ON (Active)","AUTOMATIC",1,37.53,4,"AUTOMATIC","0"
"153","INTER",2,11,"s141128","s141128",0,"2020-08-19",0,0,0,2162,5,2048,100,"ON (Active)","AUTOMATIC",1,13.45,0,"AUTOMATIC","0"
"154","DESTRO",2,11,"s160901","s141128",0,"2020-07-06",0,25,0,524,5,4096,100,"ON (Active)","AUTOMATIC",-1,20.75,3,"AUTOMATIC","1"
"155","PKENTE",2,13,"s151221","s141128",0,"2019-10-08",0,1,1,1115,5,4096,100,"ON (Active)","AUTOMATIC",-1,85.73,2,"AUTOMATIC","0"
"156","MADESIL",2,10,"special","s141128",0,"2019-10-10",0,1,0,366,5,512,10,"ON (Active)","AUTOMATIC",1,8.95,0,"AUTOMATIC","0"
"157","GIPIELA",4,12,"s181109","s1811091400",0,"2020-06-13",0,0,0,844,5,4096,100,"ON (Active)","AUTOMATIC",-1,30,6,"AUTOMATIC","0"
"158","2030",2,2561,"0.330000","",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","1"
"159","CRISTAL",2,9,"s141128","s141128",2,"2019-08-25",0,0,0,377,5,1024,100,"ON (Active)","AUTOMATIC",1,4.39,0,"AUTOMATIC","0"
