"","CPU_LOAD_LONG","NR_CPU","HOST_NAME","OS_FULL_VERSION","DB_NAME","QTD_CONEXAO","BUILD_BANCO_DB2","PROD_RELEASE","PROD_FIXPACK_NUM","QTD_ERROS_ATUALIZACAO","ULTIMO_RUNSTATS","QTD_OBJETOS_INVALIDOS","PACOTES_INVALIDOS","LOGARCHMETH1","TSM_OWNER","BUILD_INST_DB2","BUFFERPOLLS_AUTO","MEMORIA_BD","DTARCHIVETSM","DATA_ULTIMO_BACKUP","DFT_QUERYOPT","LOGFILSIZ","LOGPRIMARY","LOGSECOND","MAX_LOG","DB_MEM_THRESH","DFT_DEGREE","CATALOGCACHE_SZ","BP_HITRATIO_ROW_COUNT","TAMANHO_DO_BANCO_GB","TABELAS_AUDLOG","TRIGGERS_AUDLOG","MONITOR_DE_EVENTOS","INST_NAME","ASLHEAPSZ","DB2_SKIPDELETED","Target"
"101",0.043956043956044,0,0.75,1,0.2,0.000254388196387688,0.75,0.882352941176471,1,0,0.142857142857143,0,0,0.5,1,0,0,0.101642392314844,1,0.142857142857143,1,0.2128,0.5,0.62655601659751,1,0.888888888888889,0,1,0.25,0.230995746537245,0.0833333333333333,0,0,0.166666666666667,0,1,"0"
"102",0.0587673196368849,0,0.75,1,0.133333333333333,0.000254388196387688,0.95,1,0.791666666666667,0,0.571428571428571,0,0,0.5,0,0.5,0,0.10784009916331,1,0.357142857142857,1,0.008,0.75,0.62655601659751,0.888888888888889,1,0,0,0.25,0.999890936852438,1,1,0,0.0833333333333333,0,0,"0"
"103",0.0888676540850454,1,1,1,0.466666666666667,0.00305265835665225,0.9,1,0.791666666666667,0.357142857142857,0.642857142857143,0,0,0.5,1,0.5,0,0.134800123954137,1,0.714285714285714,1,0.2128,0.5,0.62655601659751,1,1,0,1,1,0.277892899989094,0.166666666666667,0.5,1,0.416666666666667,0,0,"0"
"104",0.0129001433349259,0,1,1,0.533333333333333,0.000254388196387688,0.75,0.882352941176471,1,0.142857142857143,0.928571428571429,0,0.0384615384615385,0.5,1,0,1,0.696002479082739,1,0.785714285714286,1,1,0,0.83402489626556,0.777777777777778,1,1,0,0.25,0.401134256734649,0.25,0.5,1,0.5,0,0,"0"
"105",0.0515180096869993,0,0.5,0.5,0.666666666666667,0.000508776392775375,0.75,0.941176470588235,1,0,0.857142857142857,0,0,0.5,1,0,0,0.452432599938023,1,0.642857142857143,1,0.333333333333333,1,0.83402489626556,0,1,1,0.0151664368721686,0.25,0.138510197404297,0,0,1,0,1,0,"0"
"106",0.032967032967033,0,1,1,0.4,0.000508776392775375,0.85,0.882352941176471,1,0,0.785714285714286,0,0.961538461538462,0.5,1,0,0,0.0610474124573908,1,0.571428571428571,1,0.2128,1,0.62655601659751,1,1,0,1,0.25,0.218126295124877,0.0833333333333333,0.375,1,0.333333333333333,0,0,"0"
"107",0.042044911610129,0,0.75,1,0.866666666666667,0.00101755278555075,0.8,0.882352941176471,1,0,0.214285714285714,0,0.0384615384615385,0.5,0.5,0,0.5,0.24573907654168,0,0.214285714285714,1,0.2128,0.5,0.62655601659751,1,1,0,1,0.25,0.926818627985604,0.0833333333333333,0.25,1,0.833333333333333,0,0,"1"
"108",0.0291447682752031,0,1,1,0.733333333333333,0.000254388196387688,1,0.882352941176471,1,0,0.285714285714286,0,0.0384615384615385,0.5,1,0,0,0.0130151843817787,1,0.5,1,0.2128,0,1,0.777777777777778,0,1,0.113649793184952,0,0.0894317810011997,0,0,1,0.666666666666667,0,0,"0"
"109",0.101767797419971,1,1,1,0.6,0.00101755278555075,0.9,1,0.791666666666667,0,0.714285714285714,0,0,0.5,1,0.5,0,0.160520607375271,1,0.428571428571429,1,0.2128,0.5,0.62655601659751,1,1,0,1,0.25,0.319009706620133,0.583333333333333,0.75,0,0.583333333333333,0,0,"1"
"110",0.095078834209269,0,0,0,0,0.71508522004579,0.1,0.235294117647059,0.0895833333333333,0.0555247504788789,1,0.0695130557515879,0.204399869713913,1,1,1,0.172547635850388,0.346163359218345,1,1,0.911609033168666,0.251452928722653,0.475432251235004,0.735574543846652,0.82678585430879,0.825374421704697,0.505645730416373,0.483490380810188,0.271259703599153,0.323159147608004,0.122133027522936,0.243428016937191,0.84438955539873,1,0.164255469301341,1,"1"
"111",0.042044911610129,0,0.75,1,0.266666666666667,0.000254388196387688,0.75,0.882352941176471,1,0.142857142857143,0,0,0,0.5,1,0,0,0.0170436938332817,1,0,1,0.008,0,0.83402489626556,0.777777777777778,1,1,0,0.25,0.0396989857127277,0,0,1,0.25,0,1,"1"
"112",0.042044911610129,0,0.75,1,0.8,0.00101755278555075,0.75,0.882352941176471,1,0,0.0714285714285714,1,1,0.5,1,0,0,0.13789897737837,1,0.0714285714285714,0,0.008,0,0.83402489626556,0.777777777777778,1,1,0,0.25,0.0650016359472134,0.166666666666667,0.5,1,0.75,0,1,"1"
"113",0.0539894887720975,0,0.75,1,0.2,0.000763164589163063,0.75,0.882352941176471,1,0,0.142857142857143,0,0,0.5,1,0,0,0.10226216299969,1,0.142857142857143,1,0.2128,0.5,0.62655601659751,1,0.888888888888889,0,1,0.25,0.230995746537245,0.0833333333333333,0,0,0.166666666666667,0,1,"1"
"114",0.0602006688963211,0,0.75,1,0.133333333333333,0.000763164589163063,0.95,1,0.791666666666667,0,0.571428571428571,0,0,0.5,0,0.5,0,0.108149984505733,1,0.357142857142857,1,0.008,0.75,0.62655601659751,0.888888888888889,1,0,0,0.25,0.999890936852438,1,1,0,0.0833333333333333,0,0,"0"
"115",0.0821786908743431,1,1,1,0.466666666666667,0.00381582294581531,0.9,1,0.791666666666667,0.357142857142857,0.642857142857143,0,0,0.5,1,0.5,0,0.137279206693523,1,0.714285714285714,1,0.2128,0.5,0.62655601659751,1,1,0,1,1,0.277892899989094,0.166666666666667,0.5,1,0.416666666666667,0,0,"0"
"116",0.0143334925943622,0,1,1,0.533333333333333,0.000254388196387688,0.75,0.882352941176471,1,0.142857142857143,0.928571428571429,0,0.0384615384615385,0.5,1,0,1,0.692903625658506,1,0.785714285714286,1,1,0,0.83402489626556,0.777777777777778,1,1,0,0.25,0.401134256734649,0.25,0.5,1,0.5,0,0,"0"
